,time,spline,prediction(trained case 1),prediction(all),target
226,0.011135724,-0.21966112,-0.10126616,-0.0202458,-0.21966112
227,0.011137343,-0.113169104,-0.113169104,-0.1131691,-0.03234838
228,0.01113895,-0.026513897,-0.026513897,-0.0265139,0.09928541
229,0.011140571,0.031275507,-0.13085198,-0.0394215,0.031275507
230,0.011142209,0.055294305,0.055294305,0.05529431,-0.050583072
231,0.011143771,0.055821773,0.055821773,0.05582177,0.0678888
232,0.011145264,0.04723928,-0.12639149,-0.0310047,0.04723928
233,0.011146739,0.0434784,0.0434784,0.0434784,0.010839615
234,0.011148228,0.053034697,0.053034697,0.0530347,-0.017196203
235,0.01114976,0.08389577,-0.123315826,0.07835694,0.08389577
236,0.011151268,0.1424718,0.1424718,0.1424718,0.25281203
237,0.01115278,0.2265653,0.2265653,0.2265653,0.36722383
238,0.01115435,0.33289248,-0.095568344,0.10024931,0.33289248
239,0.011155989,0.44205245,0.44205245,0.44205245,0.18206672
240,0.011157647,0.50971,0.50971,0.50971,0.2742064
241,0.011159264,0.4894045,-0.09136311,0.03623599,0.4894045
242,0.011160854,0.35474566,0.35474566,0.35474566,0.48011166
243,0.01116245,0.17873569,0.17873569,0.17873569,0.3162223
244,0.011164063,0.071691744,-0.074358664,-0.0313997,0.071691744
245,0.011165672,0.11471817,0.11471817,0.11471817,0.17005634
246,0.011167229,0.23938683,0.23938683,0.23938683,0.47740754
247,0.011168771,0.34539983,-0.077646166,-0.0375036,0.34539983
248,0.011170326,0.35653517,0.35653517,0.35653517,0.07564663
249,0.011171849,0.30454117,0.30454117,0.30454117,0.059976928
250,0.011173354,0.24277523,-0.10803494,0.00348099,0.24277523
251,0.011174822,0.21524698,0.21524698,0.21524698,0.27354407
252,0.011176278,0.2125345,0.2125345,0.2125345,0.20662794
253,0.011177759,0.20855443,-0.122901045,0.02611066,0.20855443
254,0.011179305,0.18368126,0.18368126,0.18368126,0.17408721
255,0.011180943,0.1419216,0.1419216,0.1419216,0.065831505
256,0.011182582,0.08791145,-0.11556754,0.01645572,0.08791145
257,0.011184191,0.02631184,0.02631184,0.02631184,0.26097983
258,0.011185802,-0.02117601,-0.02117601,-0.021176,0.21509427
259,0.011187468,-0.026124652,-0.10208525,0.00830911,-0.026124652
260,0.011189139,0.020177582,0.020177582,0.02017758,-0.16716121
261,0.011190772,0.069261566,0.069261566,0.06926157,-0.10346165
262,0.011192375,0.061511036,-0.11951407,0.01091269,0.061511036
263,0.011193942,-0.036813166,-0.036813166,-0.0368132,0.07593415
264,0.011195477,-0.15240887,-0.15240887,-0.1524089,-0.19095999
265,0.011196959,-0.18333802,-0.1212334,0.02091368,-0.18333802
266,0.011198456,-0.08197702,-0.08197702,-0.081977,-0.13151772
267,0.011200053,0.07258983,0.07258983,0.07258983,0.09484666
268,0.011201655,0.17987356,-0.102505326,0.03389895,0.17987356
269,0.011203276,0.1665256,0.1665256,0.1665256,0.07489135
270,0.011204874,0.081268065,0.081268065,0.08126807,0.052209564
271,0.011206476,0.01239577,-0.10632228,0.03049861,0.01239577
272,0.011208046,0.028026616,0.028026616,0.02802662,0.046563845
273,0.011209638,0.10399281,0.10399281,0.10399281,0.001194016
274,0.01121123,0.19114473,-0.13115951,0.00532612,0.19114473
275,0.011212847,0.24662623,0.24662623,0.24662623,0.29609478
276,0.011214471,0.24775152,0.24775152,0.24775152,0.29061085
277,0.011216091,0.17533322,-0.11499177,0.02427653,0.17533322
278,0.011217666,0.027141029,0.027141029,0.02714103,-0.16422887
279,0.011219234,-0.14986746,-0.14986746,-0.1498675,-0.28786677
280,0.011220843,-0.2975213,-0.10585448,0.02489438,-0.2975213
281,0.011222502,-0.37868667,-0.37868667,-0.3786867,-0.27248606
282,0.011224145,-0.39244142,-0.39244142,-0.3924414,-0.2055714
283,0.011225747,-0.3409712,-0.16280763,0.03759626,-0.3409712
284,0.011227289,-0.23777469,-0.23777469,-0.2377747,-0.24878293
285,0.01122882,-0.1330001,-0.1330001,-0.1330001,-0.055387992
286,0.011230397,-0.09882626,-0.17876928,0.03046928,-0.09882626
287,0.011232,-0.1818919,-0.1818919,-0.1818919,-0.31402138
288,0.011233585,-0.31603533,-0.31603533,-0.3160353,-0.38124055
289,0.011235191,-0.42721012,-0.18501207,0.02759897,-0.42721012
290,0.011236812,-0.46404484,-0.46404484,-0.4640448,-0.2725558
291,0.011238439,-0.43480033,-0.43480033,-0.4348003,-0.2843427
292,0.011240024,-0.3584476,-0.20840065,-0.0044191,-0.3584476
293,0.011241546,-0.25654608,-0.25654608,-0.2565461,-0.4180436
294,0.011243021,-0.15762697,-0.15762697,-0.157627,-0.20538788
295,0.011244482,-0.0940413,-0.2112495,-0.0437077,-0.0940413
296,0.011245961,-0.08850566,-0.08850566,-0.0885057,-0.064884916
297,0.011247461,-0.12698571,-0.12698571,-0.1269857,-0.21915431
298,0.011248942,-0.17971474,-0.19348542,-0.0777763,-0.17971474
299,0.011250452,-0.22040452,-0.22040452,-0.2204045,-0.11828252
300,0.01125202,-0.23966132,-0.23966132,-0.2396613,-0.15860966
301,0.01125366,-0.22617117,-0.14887886,-0.0982283,-0.22617117
302,0.011255338,-0.17142658,-0.17142658,-0.1714266,-0.15273751
303,0.011256998,-0.0924722,-0.0924722,-0.0924722,-0.006548622
304,0.011258644,-0.011480468,-0.14033678,-0.139444,-0.011480468
305,0.011260338,0.053662855,0.053662855,0.05366286,-0.04621106
306,0.011262009,0.103801064,0.103801064,0.10380106,0.10204138
307,0.011263671,0.14556485,-0.083643615,-0.1578341,0.14556485
308,0.011265293,0.18201895,0.18201895,0.18201895,0.17241755
309,0.01126686,0.1960912,0.1960912,0.1960912,0.11517261
310,0.011268413,0.16327249,-0.072900094,-0.1272849,0.16327249
311,0.011269974,0.065562636,0.065562636,0.06556264,0.11550243
312,0.011271508,-0.053215154,-0.053215154,-0.0532152,-0.065786794
313,0.011272999,-0.11973588,-0.09003276,-0.0691092,-0.11973588
314,0.011274502,-0.09433285,-0.09433285,-0.0943329,-0.08689187
315,0.011276045,-0.022569915,-0.022569915,-0.0225699,0.101758935
316,0.01127761,0.03671505,-0.09945373,-0.0140968,0.03671505
317,0.011279212,0.03760088,0.03760088,0.03760088,-0.12849659
318,0.01128087,-0.015916487,-0.015916487,-0.0159165,-0.18924056
319,0.011282568,-0.10466415,-0.09758502,-0.0007673,-0.10466415
320,0.011284215,-0.212542,-0.212542,-0.212542,-0.035586122
321,0.011285762,-0.30704376,-0.30704376,-0.3070438,-0.29900983
322,0.01128727,-0.35514492,-0.08837628,-0.0735213,-0.35514492
323,0.011288766,-0.32995567,-0.32995567,-0.3299557,-0.44818977
324,0.01129027,-0.25147074,-0.25147074,-0.2514707,-0.39679495
325,0.011291825,-0.15168458,-0.07106464,-0.1124447,-0.15168458
326,0.011293463,-0.06007012,-0.06007012,-0.0600701,-0.12641665
327,0.011295042,0.015404628,0.015404628,0.01540463,-0.013050329
328,0.011296568,0.07237969,-0.06955335,-0.0834074,0.07237969
329,0.011298149,0.104262866,0.104262866,0.10426287,0.13880573
330,0.011299805,0.10284345,0.10284345,0.10284345,0.15576671
331,0.011301439,0.062083684,-0.084530585,-0.0638638,0.062083684
332,0.011303054,-0.016903326,-0.016903326,-0.0169033,-0.15437888
333,0.011304663,-0.11012167,-0.11012167,-0.1101217,-0.2280485
334,0.011306253,-0.18951437,-0.09123078,-0.0541283,-0.18951437
335,0.011307798,-0.23071791,-0.23071791,-0.2307179,-0.12813608
336,0.011309322,-0.23641953,-0.23641953,-0.2364195,-0.05079729
337,0.011310853,-0.21250989,-0.1254527,-0.0599723,-0.21250989
338,0.011312393,-0.16929904,-0.16929904,-0.169299,-0.4230288
339,0.011313936,-0.12902966,-0.12902966,-0.1290297,-0.434095
340,0.011315511,-0.11612124,-0.12012699,-0.0571359,-0.11612124
341,0.011317073,-0.1438117,-0.1438117,-0.1438117,0.2913873
342,0.01131859,-0.1562066,-0.1562066,-0.1562066,0.22495468
343,0.011320076,-0.08485632,-0.12559408,-0.0634223,-0.08485632
344,0.011321546,0.1107139,0.1107139,0.1107139,-0.08539619
345,0.011323023,0.34747517,0.34747517,0.34747517,0.32839534
346,0.011324521,0.5054466,-0.12998796,-0.0359162,0.5054466
347,0.011326048,0.49670798,0.49670798,0.49670798,0.30501667
348,0.011327502,0.369116,0.369116,0.369116,0.18914434
349,0.011328957,0.23348449,-0.12970787,0.05159596,0.23348449
350,0.011330452,0.16759577,0.16759577,0.16759577,0.17740451
351,0.011332012,0.15233645,0.15233645,0.15233645,0.24443597
352,0.011333642,0.15318862,-0.14572257,0.07058775,0.15318862
353,0.011335281,0.14617431,0.14617431,0.14617431,0.115725294
354,0.01133693,0.13483693,0.13483693,0.13483693,0.11995638
355,0.011338544,0.12860894,-0.22312646,0.09091926,0.12860894
356,0.01134017,0.13075195,0.13075195,0.13075195,0.0804018
357,0.011341836,0.120080695,0.120080695,0.1200807,-0.002320814
358,0.011343531,0.06491712,-0.21788666,0.0848463,0.06491712
359,0.01134519,-0.050100096,-0.050100096,-0.0501001,0.109985724
360,0.0113468,-0.16953413,-0.16953413,-0.1695341,-0.1105378
361,0.011348365,-0.2162893,-0.16687363,0.06276795,-0.2162893
362,0.011349924,-0.1441933,-0.1441933,-0.1441933,-0.0443224
363,0.011351538,-0.012882852,-0.012882852,-0.0128829,0.1150153
364,0.011353177,0.09698142,-0.112927765,0.01970568,0.09698142
365,0.011354833,0.12573448,0.12573448,0.12573448,-0.033454344
366,0.011356488,0.097106636,0.097106636,0.09710664,0.02687251
367,0.011358081,0.05157643,-0.107882,-0.0295188,0.05157643
368,0.011359623,0.020892913,0.020892913,0.02089291,-0.037262052
369,0.011361172,0.00231249,0.00231249,0.00231249,-0.002775773
370,0.011362706,-0.01485616,-0.10241039,-0.0043215,-0.01485616
371,0.011364249,-0.041912712,-0.041912712,-0.0419127,-0.053868487
372,0.011365811,-0.09093439,-0.09093439,-0.0909344,-0.08308595
373,0.011367403,-0.17434819,-0.09924945,0.00718706,-0.17434819
374,0.011369023,-0.29355618,-0.29355618,-0.2935562,-0.35422486
375,0.011370662,-0.39020985,-0.39020985,-0.3902099,-0.34987223
376,0.011372316,-0.3870841,-0.104691215,-0.0220336,-0.3870841
377,0.011373944,-0.24170291,-0.24170291,-0.2417029,-0.30814445
378,0.011375561,-0.028078036,-0.028078036,-0.028078,0.00699228
379,0.011377165,0.1491366,-0.09978078,-0.0493301,0.1491366
380,0.011378745,0.20261516,0.20261516,0.20261516,0.33208954
381,0.011380326,0.17360483,0.17360483,0.17360483,0.3362363
382,0.011381887,0.12560746,-0.10082927,-0.0768001,0.12560746
383,0.011383404,0.108749814,0.108749814,0.10874981,0.092595704
384,0.011384935,0.116783604,0.116783604,0.1167836,-0.029362397
385,0.011386467,0.12800859,-0.107048556,-0.0730099,0.12800859
386,0.011388,0.12676233,0.12676233,0.12676233,0.15830667
387,0.011389516,0.11511462,0.11511462,0.11511462,0.2730808
388,0.011391053,0.09950946,-0.10886796,-0.0948638,0.09950946
389,0.011392599,0.082092494,0.082092494,0.08209249,-0.02255679
390,0.011394187,0.050100088,0.050100088,0.05010009,-0.009258114
391,0.011395789,-0.013029473,-0.09991955,-0.0764841,-0.013029473
392,0.011397394,-0.1225799,-0.1225799,-0.1225799,-0.27170902
393,0.011399,-0.25587437,-0.25587437,-0.2558744,-0.49188903
394,0.01140055,-0.37549472,-0.118989006,-0.0440618,-0.37549472
395,0.01140209,-0.45697764,-0.45697764,-0.4569776,-0.31926516
396,0.011403672,-0.4840815,-0.4840815,-0.4840815,-0.24246655
397,0.011405221,-0.44218263,-0.14189902,-0.0487802,-0.44218263
398,0.01140674,-0.32422426,-0.32422426,-0.3242243,-0.37481958
399,0.011408305,-0.17274463,-0.17274463,-0.1727446,-0.049320985
400,0.01140995,-0.053745735,-0.14160386,-0.0478068,-0.053745735
401,0.011411539,-0.021520471,-0.021520471,-0.0215205,-0.29014692
402,0.01141304,-0.04497479,-0.04497479,-0.0449748,-0.34669438
403,0.011414524,-0.069857284,-0.12474263,-0.0558556,-0.069857284
404,0.011416028,-0.054341767,-0.054341767,-0.0543418,0.07302801
405,0.0114176,-0.001569306,-0.001569306,-0.0015693,0.024286367
406,0.01141924,0.07807308,-0.11977817,-0.0535159,0.07807308
407,0.01142086,0.16270798,0.16270798,0.16270798,0.32447323
408,0.011422447,0.22952,0.22952,0.22952,0.34565815
409,0.011424029,0.24976945,-0.1410837,-0.0662196,0.24976945
410,0.011425655,0.20849788,0.20849788,0.20849788,-0.022326479
411,0.011427329,0.1331404,0.1331404,0.1331404,-0.000290931
412,0.011428992,0.06394017,-0.13209014,-0.0247302,0.06394017
413,0.011430643,0.03058683,0.03058683,0.03058683,-0.015204753
414,0.011432242,0.033889547,0.033889547,0.03388955,-0.082493335
415,0.011433814,0.06548411,-0.10382515,-0.0022765,0.06548411
416,0.0114354,0.113597535,0.113597535,0.11359754,0.2442864
417,0.011437025,0.15837415,0.15837415,0.15837415,0.32245168
418,0.011438638,0.17755349,-0.08371733,0.05346056,0.17755349
419,0.011440211,0.15929687,0.15929687,0.15929687,0.18023229
420,0.011441772,0.11829747,0.11829747,0.11829747,0.120654464
421,0.011443342,0.07797297,-0.0839299,0.01193416,0.07797297
422,0.011444949,0.05715161,0.05715161,0.05715161,0.048626203
423,0.011446584,0.039311644,0.039311644,0.03931164,0.000552545
424,0.011448216,0.001261649,-0.09863622,0.00379225,0.001261649
425,0.011449886,-0.06466131,-0.06466131,-0.0646613,-0.029354949
426,0.011451473,-0.11888969,-0.11888969,-0.1188897,-0.13061735
427,0.011452973,-0.11078479,-0.11933432,-0.0200174,-0.11078479
428,0.011454481,-0.004756816,-0.004756816,-0.0047568,0.09916832
429,0.011456066,0.14939259,0.14939259,0.14939259,0.15442002
430,0.011457715,0.28300437,-0.124801815,-0.0064806,0.28300437
431,0.01145931,0.34130162,0.34130162,0.34130162,0.35215896
432,0.011460878,0.35638428,0.35638428,0.35638428,0.2585677
433,0.011462435,0.38728523,-0.120706856,-0.0087335,0.38728523
434,0.011464025,0.47015566,0.47015566,0.47015566,0.66881907
435,0.011465644,0.5504425,0.5504425,0.5504425,0.5765778
436,0.011467238,0.5442418,-0.107671216,0.00106207,0.5442418
437,0.011468812,0.39717972,0.39717972,0.39717972,0.4717797
438,0.011470396,0.20287183,0.20287183,0.20287183,0.15812673
439,0.011472021,0.066854045,-0.10225991,-0.0136591,0.066854045
440,0.011473688,0.05761499,0.05761499,0.05761499,0.14036785
441,0.011475363,0.1148809,0.1148809,0.1148809,0.18494692
442,0.011477042,0.13607061,-0.06353243,-0.0601639,0.13607061
443,0.011478737,0.05119398,0.05119398,0.05119398,0.19762023
444,0.011480386,-0.068739645,-0.068739645,-0.0687396,-0.025234995
445,0.011482005,-0.12675333,-0.057204068,-0.0841212,-0.12675333
446,0.011483628,-0.052091468,-0.052091468,-0.0520915,0.031240053
447,0.011485241,0.08239733,0.08239733,0.08239733,0.27198404
448,0.011486835,0.17239341,-0.07724863,-0.1042019,0.17239341
449,0.011488408,0.1442055,0.1442055,0.1442055,0.098043285
450,0.011489959,0.048143826,0.048143826,0.04814383,-0.047339965
451,0.011491498,-0.038096886,-0.11329207,-0.017439,-0.038096886